>> ------DATA AND TIME------|--SYNCH 4b--|------------------------DATA 16b--------------------------|-----------------MNEM 12b-------------------|-------DATA 4b-------
>> Fri May 28 16:10:38 2021 | (b'\xcc\xaf\xcdo',) | (52719, 52719, 52687, 52687, 52687, 52687, 52687, 52687) | (b'\xcd\xaf\xcd\xaf\xcd\xaf\xcd\xcf\xcd\xcf\xcd\xcf',) | 0
>> Fri May 28 16:10:38 2021 | (b'\xe0/\xe1/',) | (57775, 57743, 57775, 57743, 57775, 57743, 57775, 57711) | (b'\xe1o\xe1\xaf\xe1o\xe1\xaf\xe1\xaf\xe1\xaf',) | 0
>> Fri May 28 16:10:39 2021 | (b'\xf5\xaf\xf6\xef',) | (63247, 63247, 63247, 63247, 63247, 63247, 63247, 63247) | (b'\xf7\x0f\xf7\x0f\xf7\x0f\xf7\x0f\xf7o\xf7\x0f',) | 0
>> Fri May 28 16:10:39 2021 | (b'\xff\xff\xff\xff',) | (65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535) | (b'\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff',) | 0
>> Fri May 28 16:10:40 2021 | (b'\xff\xff\xff\xff',) | (65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535) | (b'\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff',) | 0
>> Fri May 28 16:10:40 2021 | (b'\xff\xff\xff\xff',) | (65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535) | (b'\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff',) | 0
>> Fri May 28 16:10:41 2021 | (b'\xff\xff\xff\xff',) | (65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535) | (b'\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff',) | 0
>> Fri May 28 16:10:41 2021 | (b'\xff\xff\xff\xff',) | (65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535) | (b'\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff',) | 0
>> Fri May 28 16:10:42 2021 | (b'\xff\xff\xff\xff',) | (65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535) | (b'\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff',) | 0
>> Fri May 28 16:10:42 2021 | (b'\xff\xff\xff\xff',) | (65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535) | (b'\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff',) | 0
>> Fri May 28 16:10:43 2021 | (b'\xff\xff\xff\xff',) | (65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535) | (b'\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff',) | 0
>> Fri May 28 16:10:43 2021 | (b'\xff\xff\xff\xff',) | (65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535) | (b'\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff',) | 0
>> Fri May 28 16:10:44 2021 | (b'\xff\xff\xff\xff',) | (65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535) | (b'\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff',) | 0
>> Fri May 28 16:10:44 2021 | (b'\xff\xff\xff\xff',) | (65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535) | (b'\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff',) | 0
>> Fri May 28 16:10:45 2021 | (b'\xff\xff\xff\xff',) | (65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535) | (b'\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff',) | 0
>> Fri May 28 16:10:46 2021 | (b'\xff\xff\xff\xff',) | (65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535) | (b'\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff',) | 0
>> Fri May 28 16:10:46 2021 | (b'\xff\xff\xff\xff',) | (65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535) | (b'\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff',) | 0
>> Fri May 28 16:10:47 2021 | (b'\xff\xff\xff\xff',) | (65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535) | (b'\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff',) | 0
>> Fri May 28 16:10:47 2021 | (b'\xff\xff\xff\xff',) | (65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535) | (b'\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff',) | 0
>> Fri May 28 16:10:48 2021 | (b'\xf0\xef\xf2\x0f',) | (62127, 62127, 62127, 62127, 62127, 62127, 62127, 62127) | (b'\xf2\xaf\xf2\xaf\xf2\xaf\xf2\xaf\xf2\xaf\xf2\xaf',) | 0
>> Fri May 28 16:10:48 2021 | (b'\xdb\x8f\xdc\xaf',) | (56559, 56559, 56559, 56559, 56559, 56559, 56559, 56559) | (b'\xdc\xef\xdc\xef\xdc\xef\xdc\xef\xdc\xef\xdc\xef',) | 0
>> Fri May 28 16:10:49 2021 | (b'\xc7\xef\xc8\xef',) | (51535, 51535, 51535, 51535, 51535, 51535, 51535, 51535) | (b'\xc9O\xc9O\xc9O\xc9o\xc9O\xc9O',)       | 0
>> Fri May 28 16:10:49 2021 | (b'\xb6O\xb7O',) | (47023, 46991, 46991, 46959, 46959, 46959, 46991, 46959) | (b'\xb7o\xb7\xaf\xb7\xaf\xb7\xaf\xb7\xaf\xb7\xaf',) | 0
>> Fri May 28 16:10:50 2021 | (b'\xa6\xaf\xa7o',) | (42959, 42959, 42959, 42959, 42959, 42959, 42959, 42959) | (b'\xa7\xcf\xa7\xcf\xa7\xef\xa7\xef\xa7\xef\xa7\xef',) | 0
>> Fri May 28 16:10:50 2021 | (b'\x98\xcf\x99\xaf',) | (39407, 39407, 39407, 39407, 39407, 39407, 39407, 39407) | (b'\x99\xef\x99\xef\x9a\x0f\x99\xef\x99\xef\x9a\x0f',) | 0
