>> ------DATA AND TIME------|--SYNCH 4b--|------------------------DATA 16b--------------------------|-----------------MNEM 12b-------------------|-------DATA 4b-------
>> Mon May 31 11:35:21 2021 | (b'7\xe08\xa0',) | (14528, 14496, 14496, 14496, 14496, 14496, 14496, 14496) | (b'8\xa08\xa08\xa08\xc08\xc08\xc0',)       | 0
>> Mon May 31 11:35:22 2021 | (b'1\x802 ',) | (12896, 12896, 12896, 12896, 12896, 12896, 12896, 12896) | (b'2`2`2`2`2`2`',)                         | 0
>> Mon May 31 11:35:23 2021 | (b'+\x00+\x80',) | (11200, 11200, 11200, 11200, 11200, 11200, 11200, 11200) | (b'+\xe0+\xe0+\xe0+\xe0+\xe0+\xe0',)       | 0
>> Mon May 31 11:35:24 2021 | (b'%`%\xe0',) | (9728, 9760, 9760, 9728, 9728, 9728, 9728, 9760) | (b'& & & &\x00& & ',)                      | 0
>> Mon May 31 11:35:25 2021 | (b'"`"\xe0',) | (8960, 8960, 8960, 8928, 8928, 8960, 8960, 8928) | (b'#\x00#\x00#\x00#\x00#\x00#\x00',)       | 0
>> Mon May 31 11:35:26 2021 | (b'!\xa0"`',) | (8800, 8800, 8800, 8800, 8800, 8800, 8800, 8800) | (b'"`"`"`"`"`"`',)                         | 0
>> Mon May 31 11:35:27 2021 | (b'#\xc0$@',) | (9312, 9312, 9312, 9280, 9280, 9312, 9280, 9312) | (b'$@$@$@$@$@$@',)                         | 0
>> Mon May 31 11:35:28 2021 | (b"'\xe0(`",) | (10400, 10400, 10400, 10368, 10400, 10400, 10400, 10368) | (b'(`(\x80(\xa0(\x80(`(`',)                | 0
>> Mon May 31 11:35:29 2021 | (b'-\xe0.\xa0',) | (11968, 11968, 11968, 11936, 11936, 11936, 11936, 11936) | (b'.\xa0.\x80.\x80.\x80.\x80.\x80',)       | 0
>> Mon May 31 11:35:30 2021 | (b'4@5\x00',) | (13568, 13568, 13536, 13536, 13568, 13536, 13536, 13536) | (b'4\xe04\xe04\xe04\xe04\xe04\xe0',)       | 0
>> Mon May 31 11:35:32 2021 | (b'9\x80:\x00',) | (14880, 14912, 14880, 14880, 14880, 14880, 14880, 14880) | (b': : : : : :\x00',)                      | 0
>> Mon May 31 11:35:33 2021 | (b'<\xe0=`',) | (15776, 15776, 15744, 15744, 15744, 15744, 15744, 15744) | (b'=\x80=\x80=\x80=\x80=\x80=`',)          | 0
>> Mon May 31 11:35:34 2021 | (b'=\xe0>`',) | (16032, 16032, 16032, 16032, 16032, 16032, 16032, 16032) | (b'>\xa0>\xa0>\xa0>\xa0>\xa0>\xa0',)       | 0
>> Mon May 31 11:35:35 2021 | (b'<`=\x00',) | (15648, 15648, 15648, 15616, 15648, 15648, 15648, 15648) | (b'= = = = = = ',)                         | 0
