>> ------DATA AND TIME------|--SYNCH 4b--|------------------------DATA 16b--------------------------|-----------------MNEM 12b-------------------|-------DATA 4b-------
>> Fri May 28 16:09:38 2021 | (b'\xa3\x0f\xa3\xef',) | (42095, 42095, 42095, 42095, 42095, 42063, 42063, 42063) | (b'\xa4O\xa4O\xa4/\xa4/\xa4O\xa4O',)       | 0
>> Fri May 28 16:09:38 2021 | (b'\xc7O\xc8\x0f',) | (51375, 51375, 51375, 51375, 51311, 51311, 51311, 51311) | (b'\xc8\xaf\xc8o\xc8o\xc8\xaf\xc8\xaf\xc8\xaf',) | 0
>> Fri May 28 16:09:39 2021 | (b'\xf0\xaf\xf1\xaf',) | (61999, 61999, 61999, 61967, 61967, 61999, 61935, 61935) | (b'\xf2/\xf1\xef\xf2\x0f\xf2/\xf2o\xf2/',) | 0
>> Fri May 28 16:09:39 2021 | (b'\xff\xff\xff\xff',) | (65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535) | (b'\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff',) | 0
>> Fri May 28 16:09:40 2021 | (b'\xf9o\xfa\xaf',) | (64303, 64303, 64303, 64303, 64303, 64271, 64303, 64303) | (b'\xfb/\xfb/\xfb/\xfb/\xfb/\xfb/',)       | 0
>> Fri May 28 16:09:40 2021 | (b'\xcf\xaf\xd0\xef',) | (53583, 53551, 53551, 53551, 53551, 53551, 53551, 53551) | (b'\xd1/\xd1/\xd1O\xd1/\xd1/\xd1O',)       | 0
>> Fri May 28 16:09:41 2021 | (b'\xa8o\xa9O',) | (43439, 43439, 43439, 43439, 43439, 43439, 43439, 43439) | (b'\xa9\xaf\xa9\xaf\xa9\xcf\xa9\xaf\xa9\xaf\xa9\xcf',) | 0
>> Fri May 28 16:09:41 2021 | (b'\x92\xaf\x93o',) | (37807, 37807, 37807, 37807, 37807, 37807, 37807, 37807) | (b'\x93\xcf\x93\xaf\x93\xaf\x93\xcf\x93\xcf\x93\xcf',) | 0
>> Fri May 28 16:09:42 2021 | (b'\x91\xef\x92\xcf',) | (37647, 37615, 37615, 37615, 37615, 37615, 37615, 37615) | (b'\x92\xef\x92\xef\x92\xef\x92\xef\x92\xef\x92\xef',) | 0
>> Fri May 28 16:09:42 2021 | (b'\xa6\xaf\xa7o',) | (42959, 42927, 42927, 42959, 42927, 42927, 42927, 42927) | (b'\xa7\xaf\xa7\xaf\xa7\xaf\xa7\xaf\xa7\xaf\xa7\xaf',) | 0
>> Fri May 28 16:09:43 2021 | (b'\xcco\xcdo',) | (52687, 52655, 52655, 52655, 52655, 52655, 52655, 52655) | (b'\xcd\xaf\xcd\xaf\xcd\xaf\xcd\xaf\xcd\xaf\xcd\xaf',) | 0
>> Fri May 28 16:09:43 2021 | (b'\xf4\xaf\xf5\xcf',) | (62991, 62991, 62991, 62991, 62959, 62959, 62959, 62991) | (b'\xf5\xef\xf6\x0f\xf6\x0f\xf6o\xf6\x0f\xf6\x0f',) | 0
>> Fri May 28 16:09:44 2021 | (b'\xc0\xef\xc2O',) | (49903, 49967, 49967, 49871, 49711, 49615, 49583, 49615) | (b'\xc2O\xc2\xaf\xc2\xef\xc3O\xc3\x0f\xc2\xef',) | 0
>> Fri May 28 16:09:44 2021 | (b'\xd2o\xd3o',) | (54255, 54223, 54223, 54255, 54223, 54255, 54223, 54255) | (b'\xd3\xef\xd3\xef\xd3\xef\xd3\xef\xd3\xef\xd3\xef',) | 0
>> Fri May 28 16:09:45 2021 | (b'\xb4\xef\xb5\xef',) | (46703, 46639, 46671, 46671, 46703, 46671, 46703, 46703) | (b'\xb6o\xb6o\xb6o\xb6O\xb6O\xb6O',)       | 0
>> Fri May 28 16:09:45 2021 | (b'\xc0\xef\xc1\xcf',) | (49711, 49711, 49711, 49679, 49647, 49647, 49679, 49647) | (b'\xc1\xef\xc1\xef\xc1\xef\xc1\xef\xc1\xef\xc1\xef',) | 0
>> Fri May 28 16:09:46 2021 | (b'\xd2\xaf\xd3\xaf',) | (54319, 54255, 54255, 54287, 54319, 54319, 54319, 54319) | (b'\xd4/\xd4\x0f\xd4/\xd4/\xd4/\xd4/',)    | 0
>> Fri May 28 16:09:46 2021 | (b'\xb5o\xb6o',) | (46799, 46767, 46767, 46767, 46767, 46767, 46767, 46767) | (b'\xb6\xaf\xb6\xaf\xb6\xaf\xb6\xcf\xb6\xcf\xb6\xcf',) | 0
>> Fri May 28 16:09:47 2021 | (b'\xbeo\xbfo',) | (49071, 49071, 49071, 49071, 49071, 49071, 49071, 49071) | (b'\xbf\xaf\xbf\xaf\xbf\xaf\xbf\x8f\xbf\x8f\xbf\x8f',) | 0
>> Fri May 28 16:09:48 2021 | (b'\xd3o\xd4o',) | (54447, 54447, 54447, 54447, 54447, 54447, 54447, 54447) | (b'\xd4\xaf\xd4\xaf\xd4\xaf\xd4\xcf\xd4\xaf\xd4\xcf',) | 0
>> Fri May 28 16:09:48 2021 | (b'\xb6\xaf\xb7o',) | (47087, 47087, 47087, 47087, 47087, 47087, 47087, 47087) | (b'\xb7\xef\xb7\xef\xb7\xef\xb7\xef\xb7\xef\xb7\xef',) | 0
>> Fri May 28 16:09:49 2021 | (b'\xbc\xef\xbd\xef',) | (48751, 48719, 48719, 48719, 48719, 48719, 48719, 48719) | (b'\xbe/\xbd\xef\xbe\x0f\xbe\x0f\xbeO\xbe\x0f',) | 0
>> Fri May 28 16:09:49 2021 | (b'\xd3\xaf\xd4\xaf',) | (54511, 54511, 54511, 54511, 54511, 54511, 54511, 54575) | (b'\xd4\xef\xd4\xef\xd5O\xd4\xef\xd5\x0f\xd4\xef',) | 0
>> Fri May 28 16:09:50 2021 | (b'\xb7\xaf\xb8\xaf',) | (47343, 47343, 47343, 47343, 47343, 47343, 47343, 47343) | (b'\xb8\xef\xb8\xef\xb8\xef\xb8\xef\xb8\xef\xb8\xef',) | 0
