>> ------DATA AND TIME------|--SYNCH 4b--|------------------------DATA 16b--------------------------|-----------------MNEM 12b-------------------|-------DATA 4b-------
>> Fri May 28 15:58:44 2021 | (b'\xc3O\xc4\xaf',) | (50351, 50351, 50351, 50351, 50351, 50351, 50351, 50351) | (b'\xc4\xaf\xc4o\xc4o\xc4\xaf\xc4o\xc4o',) | (1.21588356549583e+29,)
>> Fri May 28 15:58:45 2021 | (b'\xc9\x0f\xc9\xef',) | (51823, 51823, 51887, 51823, 51823, 51823, 51823, 51823) | (b'\xcao\xcao\xcao\xcao\xca/\xcaO',)       | (1.2530223333583693e+29,)
>> Fri May 28 15:58:46 2021 | (b'\xca\xef\xcb\xef',) | (52399, 52335, 52335, 52335, 52335, 52335, 52335, 52335) | (b'\xcco\xcco\xcco\xcco\xcco\xcco',)       | (1.2654019226458825e+29,)
>> Fri May 28 15:58:47 2021 | (b'\xc7\xaf\xc8\xaf',) | (51471, 51439, 51439, 51439, 51439, 51439, 51439, 51439) | (b'\xc9\x0f\xc8\xef\xc9/\xc9/\xc9O\xc9/',) | (6750704128.0,)
>> Fri May 28 15:58:48 2021 | (b'\xc1\x8f\xc2\xaf',) | (49903, 49903, 49903, 49903, 49903, 49903, 49903, 49903) | (b'\xc2\xef\xc2\xef\xc2\xef\xc3\x0f\xc3\x0f\xc3\x0f',) | (1.923455575798529e-29,)
>> Fri May 28 15:58:49 2021 | (b'\xb9\xef\xbb\x0f',) | (47983, 47983, 47983, 47951, 47951, 47951, 47951, 47983) | (b'\xbbO\xbbo\xbbo\xbbo\xbbo\xbbo',)       | (1.1617228387511277e+29,)
>> Fri May 28 15:58:50 2021 | (b'\xb1\xcf\xb2\xaf',) | (45839, 45839, 45871, 45839, 45839, 45839, 45871, 45839) | (b'\xb3/\xb3\x0f\xb3/\xb3/\xb3/\xb3/',)    | (6016689664.0,)
>> Fri May 28 15:58:51 2021 | (b'\xaao\xabO',) | (43951, 43951, 43951, 43919, 43919, 43951, 43919, 43951) | (b'\xab\xaf\xab\xaf\xab\xcf\xab\xaf\xab\xcf\xab\xcf',) | (-1.0642335495001295e+29,)
>> Fri May 28 15:58:52 2021 | (b'\xa5\xcf\xa6\xcf',) | (42767, 42767, 42799, 42767, 42767, 42767, 42799, 42767) | (b'\xa7/\xa7\x0f\xa7/\xa7/\xa7\x0f\xa7/',) | (3.0388244698364986e-10,)
>> Fri May 28 15:58:53 2021 | (b'\xa3o\xa4o',) | (42191, 42159, 42159, 42159, 42159, 42127, 42159, 42159) | (b'\xa4\xaf\xa4\xaf\xa4\xaf\xa4\xaf\xa4\xaf\xa4\xaf',) | (-2.995622638835016e-10,)
