>> ------DATA AND TIME------|--SYNCH 4b--|------------------------DATA 16b--------------------------|-----------------MNEM 12b-------------------|-------DATA 4b-------
>> Mon May 31 11:38:08 2021 | (b'2\xa03`',) | (13152, 13184, 13184, 13184, 13152, 13184, 13184, 13184) | (b'3\x803\x803\x803\x803\x803\x80',)       | 0
>> Mon May 31 11:38:09 2021 | (b'2\x002\x80',) | (12960, 12992, 12992, 12960, 12960, 12960, 12960, 12960) | (b'2\xa02\xa02\xa02\xa02\x802\x80',)       | 0
>> Mon May 31 11:38:10 2021 | (b'/\xa00 ',) | (12384, 12384, 12384, 12384, 12352, 12352, 12352, 12320) | (b'0@0`0@0@0 0 ',)                         | 0
>> Mon May 31 11:38:11 2021 | (b'0\x000\xa0',) | (12512, 12512, 12512, 12512, 12512, 12512, 12512, 12512) | (b'0\xe00\xe00\xe00\xe00\xe00\xe0',)       | 0
>> Mon May 31 11:38:12 2021 | (b'2`3\x00',) | (13056, 13088, 13056, 13088, 13088, 13088, 13088, 13056) | (b'3 3 3 3 3 3 ',)                         | 0
>> Mon May 31 11:38:13 2021 | (b'2\x803 ',) | (13152, 13152, 13152, 13152, 13152, 13120, 13120, 13120) | (b'3 3@3 3@3 3 ',)                         | 0
>> Mon May 31 11:38:14 2021 | (b'/\xc00`',) | (12416, 12416, 12384, 12384, 12384, 12384, 12384, 12384) | (b'0`0`0`0`0`0`',)                         | 0
>> Mon May 31 11:38:15 2021 | (b'0`1\x00',) | (12544, 12544, 12544, 12544, 12544, 12544, 12544, 12544) | (b'1\x001\x001 1 1@1 ',)                   | 0
>> Mon May 31 11:38:16 2021 | (b'2\xa03@',) | (13152, 13152, 13152, 13152, 13152, 13152, 13152, 13152) | (b'3`3`3`3`3`3`',)                         | 0
>> Mon May 31 11:38:17 2021 | (b'2 2\xe0',) | (13024, 13024, 13024, 12992, 12992, 12992, 12992, 12992) | (b'2\xa02\xc02\xc02\xc02\xa02\xc0',)       | 0
>> Mon May 31 11:38:18 2021 | (b'/\xc00`',) | (12416, 12448, 12416, 12384, 12384, 12384, 12384, 12384) | (b'0`0`0`0`0`0`',)                         | 0
>> Mon May 31 11:38:19 2021 | (b'0`1\x00',) | (12576, 12576, 12576, 12576, 12576, 12576, 12576, 12576) | (b'1 1 1 1 1 1 ',)                         | 0
>> Mon May 31 11:38:20 2021 | (b'2\xc03`',) | (13184, 13184, 13184, 13184, 13184, 13184, 13184, 13184) | (b'3\x803\x803\x803\x803\x803\x80',)       | 0
>> Mon May 31 11:38:21 2021 | (b'1\xa02@',) | (12896, 12896, 12896, 12864, 12832, 12832, 12832, 12832) | (b'2 2 2 2 2 2 ',)                         | 0
>> Mon May 31 11:38:23 2021 | (b'/\x800 ',) | (12384, 12384, 12320, 12320, 12320, 12320, 12320, 12320) | (b'0 0 0 0 0 0 ',)                         | 0
>> Mon May 31 11:38:24 2021 | (b'0\x801 ',) | (12640, 12640, 12640, 12640, 12640, 12640, 12640, 12640) | (b'1`1`1`1`1`1`',)                         | 0
>> Mon May 31 11:38:25 2021 | (b'2\xc03`',) | (13184, 13216, 13184, 13184, 13184, 13184, 13184, 13184) | (b'3\x803\x803\x803\x803\x803\xa0',)       | 0
>> Mon May 31 11:38:26 2021 | (b'2`3 ',) | (13152, 13120, 13120, 13088, 13120, 13088, 13088, 13088) | (b'3 3 3 3 3 3 ',)                         | 0
>> Mon May 31 11:38:27 2021 | (b'0`0\xe0',) | (12544, 12576, 12544, 12544, 12512, 12512, 12544, 12512) | (b'0\xe00\xe00\xe00\xe00\xe00\xe0',)       | 0
>> Mon May 31 11:38:28 2021 | (b'/\xe00\x80',) | (12480, 12448, 12448, 12448, 12448, 12448, 12448, 12448) | (b'0\xc00\xa00\xe00\xc00\xe00\xe0',)       | 0
>> Mon May 31 11:38:29 2021 | (b'2\x002\xa0',) | (13024, 13056, 13056, 13024, 13024, 13056, 13056, 13024) | (b'3\x003\x003\x003\x003\x003\x00',)       | 0
>> Mon May 31 11:38:30 2021 | (b'3 3\xc0',) | (13280, 13280, 13280, 13280, 13280, 13280, 13280, 13280) | (b'3\xe03\xe03\xe03\xe03\xe03\xe0',)       | 0
>> Mon May 31 11:38:31 2021 | (b'1\xe02`',) | (12896, 12896, 12896, 12896, 12896, 12896, 12896, 12896) | (b'2`2`2`2@2@2 ',)                         | 0
>> Mon May 31 11:38:32 2021 | (b'/\xe00`',) | (12416, 12416, 12384, 12384, 12384, 12384, 12384, 12384) | (b'0`0`0`0`0`0`',)                         | 0
>> Mon May 31 11:38:33 2021 | (b'0\x801@',) | (12608, 12640, 12608, 12608, 12640, 12608, 12640, 12640) | (b'1`1`1`1`1`1`',)                         | 0
>> Mon May 31 11:38:34 2021 | (b'2\xc03`',) | (13184, 13184, 13184, 13152, 13184, 13184, 13184, 13184) | (b'3\x803\x803\x803\x803\x803\x80',)       | 0
>> Mon May 31 11:38:35 2021 | (b'2\xc03`',) | (13184, 13184, 13184, 13152, 13184, 13184, 13152, 13152) | (b'3`3`3`3`3`3`',)                         | 0
>> Mon May 31 11:38:36 2021 | (b'0\xe01\x80',) | (12672, 12672, 12640, 12672, 12672, 12672, 12640, 12640) | (b'1`1`1`1`1`1`',)                         | 0
>> Mon May 31 11:38:37 2021 | (b'/\xc00`',) | (12416, 12416, 12384, 12384, 12384, 12384, 12384, 12384) | (b'0`0`0`0`0`0`',)                         | 0
>> Mon May 31 11:38:38 2021 | (b'0\xe01\x80',) | (12672, 12704, 12704, 12704, 12704, 12704, 12704, 12704) | (b'1\xa01\xa01\xa01\xa01\xe01\xe0',)       | 0
>> Mon May 31 11:38:39 2021 | (b'2\xc03\x80',) | (13184, 13184, 13184, 13184, 13184, 13184, 13184, 13184) | (b'3\x803\x803\x803\x803\x803\x80',)       | 0
>> Mon May 31 11:38:40 2021 | (b'2\xe03`',) | (13184, 13216, 13184, 13184, 13184, 13184, 13184, 13184) | (b'3\x803\x803\x803\x803\x803\x80',)       | 0
>> Mon May 31 11:38:41 2021 | (b'\r\x00\r\xa0',) | (3488, 3488, 3456, 3456, 3456, 3456, 3456, 3456) | (b'\r\x80\r\x80\r\x80\r\x80\r\x80\r\x80',) | 0
