>> ------DATA AND TIME------|--SYNCH 4b--|------------------------DATA 16b--------------------------|-----------------MNEM 12b-------------------|-------DATA 4b-------
>> Mon May 31 11:36:46 2021 | (b'$\xa0%`',) | (9568, 9568, 9568, 9568, 9568, 9568, 9568, 9568) | (b'%`%`%`%`%`%`',)                         | 0
>> Mon May 31 11:36:47 2021 | (b'#\x80$\x00',) | (9248, 9248, 9248, 9248, 9248, 9248, 9248, 9248) | (b'$ $ $ $ $ $ ',)                         | 0
>> Mon May 31 11:36:48 2021 | (b'"\xa0#`',) | (9056, 9056, 9056, 9056, 9056, 9056, 9056, 9056) | (b'#`#`#`#\x80#\x80#\x80',)                | 0
>> Mon May 31 11:36:49 2021 | (b'"`#\x00',) | (8992, 8992, 8992, 8960, 8960, 8960, 8960, 8960) | (b'#\x00#\x00#\x00#\x00#\x00#\x00',)       | 0
>> Mon May 31 11:36:50 2021 | (b'"\xa0# ',) | (9056, 9056, 9056, 8992, 8992, 8992, 8992, 8992) | (b'# # # # # # ',)                         | 0
>> Mon May 31 11:36:51 2021 | (b'# #\xe0',) | (9216, 9216, 9184, 9184, 9184, 9184, 9184, 9184) | (b'#\xe0#\xe0#\xe0#\xe0#\xe0#\xe0',)       | 0
>> Mon May 31 11:36:52 2021 | (b'$ $\xe0',) | (9440, 9472, 9440, 9440, 9440, 9440, 9440, 9440) | (b'$\xe0$\xe0$\xe0$\xe0$\xe0$\xe0',)       | 0
>> Mon May 31 11:36:53 2021 | (b'%\x80&\x00',) | (9760, 9792, 9760, 9760, 9760, 9760, 9760, 9760) | (b'& & & & & & ',)                         | 0
>> Mon May 31 11:36:54 2021 | (b"'`(\x00",) | (10272, 10272, 10240, 10240, 10240, 10240, 10240, 10240) | (b'(\x00(\x00(\x00(\x00(\x00(\x00',)       | 0
>> Mon May 31 11:36:55 2021 | (b')\x00)`',) | (10656, 10656, 10656, 10656, 10624, 10656, 10656, 10624) | (b')\x80)\x80)\x80)\x80)\x80)\x80',)       | 0
>> Mon May 31 11:36:56 2021 | (b'+ +\xc0',) | (11232, 11232, 11200, 11200, 11200, 11200, 11200, 11200) | (b'+\xc0+\xc0+\xc0+\xc0+\xc0+\xc0',)       | 0
>> Mon May 31 11:36:57 2021 | (b'-\x80.\x00',) | (11840, 11840, 11808, 11808, 11808, 11808, 11808, 11808) | (b'. . . .\x00. . ',)                      | 0
>> Mon May 31 11:36:58 2021 | (b'0@0\xe0',) | (12544, 12544, 12512, 12512, 12512, 12512, 12512, 12512) | (b'0\xe00\xe00\xe00\xe00\xe00\xe0',)       | 0
>> Mon May 31 11:36:59 2021 | (b'3\x003\x80',) | (13216, 13216, 13216, 13216, 13184, 13184, 13184, 13184) | (b'3\x803\x803\x803\x803\x803\x80',)       | 0
>> Mon May 31 11:37:00 2021 | (b'5@5\xe0',) | (13824, 13856, 13856, 13792, 13792, 13792, 13792, 13792) | (b'5\xe05\xe05\xe05\xe05\xe05\xe0',)       | 0
>> Mon May 31 11:37:01 2021 | (b'7 7\xc0',) | (14304, 14304, 14304, 14304, 14304, 14304, 14304, 14304) | (b'7\xe07\xe07\xe07\xe07\xe07\xe0',)       | 0
>> Mon May 31 11:37:02 2021 | (b'9\x009\x80',) | (14784, 14816, 14784, 14784, 14752, 14752, 14752, 14752) | (b'9\xa09\xa09\xa09\xa09\xa09\xa0',)       | 0
>> Mon May 31 11:37:03 2021 | (b':\xa0;`',) | (15232, 15232, 15232, 15200, 15200, 15200, 15200, 15200) | (b';`;`;`;`;`;`',)                         | 0
>> Mon May 31 11:37:04 2021 | (b'< <\xc0',) | (15584, 15616, 15616, 15584, 15584, 15584, 15584, 15584) | (b'<\xe0<\xe0<\xe0<\xc0<\xc0<\xe0',)       | 0
>> Mon May 31 11:37:05 2021 | (b'=\xa0>`',) | (15968, 15968, 15968, 15968, 15968, 15968, 15968, 15968) | (b'>`>`>`>`>`>`',)                         | 0
>> Mon May 31 11:37:06 2021 | (b'?\xe0@\x80',) | (16608, 16576, 16544, 16544, 16512, 16512, 16512, 16512) | (b'@\x80@`@\x80@\x80@\x80@\x80',)          | 0
>> Mon May 31 11:37:07 2021 | (b'@@@\xe0',) | (16640, 16672, 16640, 16640, 16608, 16640, 16640, 16640) | (b'A\x00A\x00A\x00A\x00A\x00A\x00',)       | 0
>> Mon May 31 11:37:08 2021 | (b'@\x80A ',) | (16736, 16736, 16736, 16704, 16704, 16704, 16704, 16704) | (b'A@A@A@A@A@A@',)                         | 0
>> Mon May 31 11:37:09 2021 | (b'@@@\xe0',) | (16640, 16672, 16640, 16640, 16608, 16640, 16640, 16640) | (b'A\x00A\x00A\x00A\x00A\x00A\x00',)       | 0
>> Mon May 31 11:37:10 2021 | (b'?`@\x00',) | (16480, 16416, 16416, 16416, 16416, 16416, 16416, 16416) | (b'@ @ @ @ @ @ ',)                         | 0
>> Mon May 31 11:37:11 2021 | (b'>`?\x00',) | (16160, 16160, 16128, 16128, 16128, 16128, 16128, 16128) | (b'?\x00?\x00?\x00?\x00?\x00?\x00',)       | 0
>> Mon May 31 11:37:12 2021 | (b'<\xa0=@',) | (15712, 15712, 15712, 15712, 15712, 15712, 15712, 15712) | (b'=`=`=`=`=`=`',)                         | 0
>> Mon May 31 11:37:13 2021 | (b':\xe0;`',) | (15232, 15232, 15232, 15232, 15232, 15264, 15232, 15232) | (b';\x80;\x80;\x80;\xa0;\xa0;\xa0',)       | 0
>> Mon May 31 11:37:14 2021 | (b'8\xc09`',) | (14720, 14752, 14720, 14720, 14720, 14720, 14720, 14720) | (b'9\x809\x809\xa09\xa09\xa09\xa0',)       | 0
>> Mon May 31 11:37:15 2021 | (b'6`7\x00',) | (14112, 14112, 14112, 14112, 14112, 14112, 14112, 14112) | (b'7@7 7@7@7@7@',)                         | 0
>> Mon May 31 11:37:16 2021 | (b'3`4 ',) | (13376, 13344, 13344, 13344, 13344, 13344, 13344, 13344) | (b'4 4 4 4 4 4 ',)                         | 0
>> Mon May 31 11:37:17 2021 | (b'0\xa01@',) | (12672, 12672, 12640, 12640, 12672, 12672, 12672, 12672) | (b'1\x801\x801\x801\x801\x801\x80',)       | 0
>> Mon May 31 11:37:18 2021 | (b'. .\xe0',) | (12032, 12032, 12032, 12032, 12032, 12032, 12032, 12032) | (b'/\x00/\x00/ / / /\x00',)                | 0
>> Mon May 31 11:37:19 2021 | (b'+\xa0,@',) | (11392, 11392, 11360, 11360, 11392, 11360, 11392, 11392) | (b',`,`,\x80,\x80,\x80,\x80',)             | 0
>> Mon May 31 11:37:20 2021 | (b'2 3\x00',) | (13056, 13024, 13024, 13024, 12992, 12992, 12992, 12992) | (b'2\xc02\xc02\xc02\xc02\xc02\xc0',)       | 0
>> Mon May 31 11:37:21 2021 | (b'.\xe0/\xa0',) | (12224, 12224, 12224, 12224, 12224, 12224, 12224, 12224) | (b'/\xc0/\xc0/\xc0/\xc0/\xc0/\xc0',)       | 0
>> Mon May 31 11:37:22 2021 | (b'2\x002\xa0',) | (13024, 13024, 13024, 12992, 12992, 13024, 13024, 13024) | (b'2\xe02\xe03\x003\x003\x003\x00',)       | 0
>> Mon May 31 11:37:23 2021 | (b'1`2 ',) | (12832, 12832, 12832, 12832, 12832, 12800, 12800, 12800) | (b'2\x002\x002\x002\x001\xe02\x00',)       | 0
>> Mon May 31 11:37:24 2021 | (b'.\xe0/`',) | (12192, 12224, 12192, 12192, 12192, 12160, 12160, 12192) | (b'/\x80/\xa0/\x80/\x80/\xa0/\xa0',)       | 0
>> Mon May 31 11:37:26 2021 | (b'1\x001\xe0',) | (12768, 12768, 12768, 12768, 12768, 12768, 12768, 12768) | (b'1\xe01\xe01\xe01\xe01\xe01\xe0',)       | 0
>> Mon May 31 11:37:27 2021 | (b'2@2\xe0',) | (13056, 13056, 13056, 13056, 13056, 13024, 13024, 13056) | (b'2\xe03\x003\x002\xe02\xe02\xe0',)       | 0
