>> ------DATA AND TIME------|--SYNCH 4b--|------------------------DATA 16b--------------------------|-----------------MNEM 12b-------------------|-------DATA 4b-------
>> Fri Jun  4 13:36:57 2021 | (b'W@Z\x80',) | (22976, 23104, 23200, 23136, 23072, 23072, 23136, 23264) | (b'[\xa0\\\xc0]\xc0]\xe0^\x80^\xc0',)      | 0
>> Fri Jun  4 13:36:57 2021 | (b'W`Z`',) | (22880, 22976, 23040, 23008, 23040, 23040, 22976, 23072) | (b'Z Y\xe0Z`Z\x80Z\xa0Z\xa0',)             | 0
>> Fri Jun  4 13:36:57 2021 | (b'X`[@',) | (23040, 23136, 23200, 23232, 23232, 23328, 23328, 23296) | (b'[\x00Z\xe0[\x00[\x00Z\xc0[\x00',)       | 0
>> Fri Jun  4 13:36:57 2021 | (b'Z@\\\xe0',) | (23392, 23392, 23392, 23328, 23296, 23296, 23264, 23392) | (b'[ [\x00Z\xe0[\x00[\x80[@',)             | 0
>> Fri Jun  4 13:36:57 2021 | (b'X\xe0[\xc0',) | (23200, 23264, 23232, 23200, 23168, 23136, 23136, 23040) | (b'Z@Z\x80Z\xe0[\x00[\x00Z\xe0',)          | 0
>> Fri Jun  4 13:36:57 2021 | (b'X`[\x00',) | (23008, 23104, 23200, 23104, 23072, 23072, 23072, 23104) | (b'Z@Z@Z`Z\xa0Z\xa0Z\x80',)                | 0
>> Fri Jun  4 13:36:57 2021 | (b'W@Z@',) | (22848, 22976, 23072, 23072, 23008, 23104, 23072, 23040) | (b'Z\x00Y\xe0Z\x00Z\x00Y\xc0Z ',)          | 0
>> Fri Jun  4 13:36:58 2021 | (b'\\\x80`\x00',) | (24288, 24480, 24672, 24768, 24768, 24928, 25088, 25184) | (b'b\x80c c@c@c c`',)                      | 0
>> Fri Jun  4 13:36:58 2021 | (b'a\xc0e ',) | (25408, 25504, 25568, 25376, 25376, 25312, 25312, 25248) | (b'b\xc0b\xa0b\x80b\xa0b\xe0c ',)          | 0
>> Fri Jun  4 13:36:58 2021 | (b'a\xa0e\x00',) | (25376, 25568, 25728, 25664, 25664, 25728, 25728, 25664) | (b'd@d\x00c`b\xe0b a`',)                   | 0
>> Fri Jun  4 13:36:58 2021 | (b'W\x80Z\xa0',) | (22944, 23040, 23104, 23008, 23040, 23008, 22944, 22880) | (b'Z [`\\@]\xa0^ ^\xa0',)                  | 0
>> Fri Jun  4 13:36:58 2021 | (b'W Z ',) | (22784, 22944, 23040, 23040, 23040, 23072, 23104, 23136) | (b'Z`Z`Z@Z@Z Z@',)                         | 0
>> Fri Jun  4 13:36:58 2021 | (b'W Z\x00',) | (22752, 22912, 22976, 22944, 23008, 23040, 23072, 23040) | (b'Z Z Z Z Z Z@',)                         | 0
>> Fri Jun  4 13:36:58 2021 | (b'W@Z@',) | (22752, 22944, 22976, 22976, 23136, 23264, 23328, 23392) | (b'Z\xe0Z\xe0Z\xe0[\x00[\x00Z\x80',)       | 0
>> Fri Jun  4 13:36:58 2021 | (b'X\xa0[\xa0',) | (23040, 23104, 23136, 23104, 23104, 23104, 23136, 23168) | (b'Z\xa0Z\x80Z\xa0Z\xa0Z\xa0Z\xa0',)       | 0
>> Fri Jun  4 13:36:58 2021 | (b'X`[\x80',) | (23136, 23264, 23328, 23328, 23264, 23264, 23232, 23232) | (b'Z\x80Z\xa0Z\x80Z\xa0Z\xa0Z\xa0',)       | 0
>> Fri Jun  4 13:36:59 2021 | (b'X\x00[ ',) | (23264, 23072, 23168, 23168, 23104, 23136, 23072, 23072) | (b'Z Z Z Z Z Z`',)                         | 0
>> Fri Jun  4 13:36:59 2021 | (b']\x80a ',) | (24704, 24800, 25024, 25120, 25184, 25184, 25312, 25376) | (b'c@c c`c\x80c\xa0c\xa0',)                | 0
>> Fri Jun  4 13:36:59 2021 | (b'W`Z\xa0',) | (22944, 22944, 23072, 23136, 23072, 23296, 23552, 23712) | (b']\xa0^\x00_\x00^\xe0_``\x00',)          | 0
>> Fri Jun  4 13:36:59 2021 | (b'W Z`',) | (22880, 23008, 23136, 23104, 23136, 23200, 23200, 23104) | (b'Z\x00Z Z Z Z\x00Z\x00',)                | 0
>> Fri Jun  4 13:36:59 2021 | (b'W\x80Z\xa0',) | (22976, 23136, 23232, 23232, 23232, 23264, 23200, 23200) | (b'Z`Z\x80Z`Z\x80[\x00[@',)                | 0
>> Fri Jun  4 13:36:59 2021 | (b'W Y\xe0',) | (22816, 22912, 22816, 22848, 22944, 23008, 23072, 23136) | (b'Z\x00Z\x00Y\xe0Z Z\x00Y\xa0',)          | 0
>> Fri Jun  4 13:36:59 2021 | (b'W\xc0Z\xe0',) | (23008, 23104, 23200, 23136, 23136, 23136, 23136, 23136) | (b'Z`Z`Z Z Y\xe0Z ',)                      | 0
>> Fri Jun  4 13:36:59 2021 | (b'W@Z`',) | (22848, 23008, 23232, 23136, 23136, 23232, 23328, 23328) | (b'Z\xc0[\x00Z\xe0Z\xe0Z\xe0Z\xc0',)       | 0
>> Fri Jun  4 13:37:00 2021 | (b'W@Z\xa0',) | (22976, 23328, 23616, 23808, 23872, 24032, 24224, 24320) | (b'_ _`_\xe0```\x80``',)                   | 0
>> Fri Jun  4 13:37:00 2021 | (b'V\xa0Y\xc0',) | (22752, 22912, 23008, 22976, 23072, 23168, 23200, 23392) | (b'[\xe0\\@]\x00]`^\x00^\xa0',)            | 0
>> Fri Jun  4 13:37:00 2021 | (b'W\x00Z\x00',) | (22816, 22944, 23040, 23040, 23008, 23136, 23072, 23072) | (b'Z Z Y\xe0Z\x00Y\xe0Y\xe0',)             | 0
>> Fri Jun  4 13:37:00 2021 | (b'V\xc0Y\xc0',) | (22720, 22816, 22944, 22944, 23008, 23040, 23072, 23040) | (b'Z Z Z Z Z\x00Y\xe0',)                   | 0
>> Fri Jun  4 13:37:00 2021 | (b'W\xa0Z\xa0',) | (22944, 23040, 23072, 23008, 23008, 23008, 22912, 22912) | (b'Z`[\xc0\\\xa0]@]`]\xc0',)               | 0
>> Fri Jun  4 13:37:00 2021 | (b'W\xa0Z\xa0',) | (22880, 23008, 23040, 23040, 23008, 23104, 23072, 22976) | (b'Y\xe0Z`[ \\ ]`^@',)                     | 0
>> Fri Jun  4 13:37:00 2021 | (b'`\xe0d`',) | (25312, 25440, 25568, 25504, 25536, 25632, 25696, 25632) | (b'd\xa0d\xe0d\xe0e e e ',)                | 0
>> Fri Jun  4 13:37:00 2021 | (b'_\x00b\x80',) | (24800, 24864, 25056, 24928, 24992, 25056, 25056, 25152) | (b'b\x80b\x80b\xa0b\xe0c\x00c@',)          | 0
>> Fri Jun  4 13:37:00 2021 | (b'Y`\\ ',) | (23200, 23232, 23264, 23168, 23136, 23136, 23104, 23136) | (b'Z`Z`Z`Z\x80Z\xa0Z\x80',)                | 0
>> Fri Jun  4 13:37:01 2021 | (b'W\xc0[\x00',) | (23008, 23136, 23200, 23200, 23232, 23232, 23200, 23168) | (b'Z`Z@Z\x00Y\xe0Y\xe0Y\xa0',)             | 0
>> Fri Jun  4 13:37:01 2021 | (b'\\\xe0`\x80',) | (24448, 24576, 24832, 24672, 24832, 24896, 24832, 24928) | (b'a\xa0a\xc0a\xe0b@b\xa0b\xe0',)          | 0
>> Fri Jun  4 13:37:01 2021 | (b'W`Z ',) | (22784, 22976, 23072, 23072, 23008, 23104, 23136, 23136) | (b'Z`Z@Z Z`Z\x80Z\xa0',)                   | 0
>> Fri Jun  4 13:37:01 2021 | (b'[@^\x00',) | (23712, 23712, 23744, 23712, 23648, 23712, 23648, 23552) | (b'\\\x00[\x80[\xa0[\xa0[\xc0\\\x00',)     | 0
>> Fri Jun  4 13:37:01 2021 | (b'X\x80[\x80',) | (23072, 23200, 23232, 23232, 23200, 23200, 23200, 23232) | (b'Z\xe0Z\xe0Z\xe0[`[`[\x00',)             | 0
>> Fri Jun  4 13:37:01 2021 | (b'c\xa0f\xa0',) | (26016, 25984, 26144, 26208, 26144, 26240, 26176, 26144) | (b'f e\xe0e\xe0e\xa0e@e@',)                | 0
>> Fri Jun  4 13:37:01 2021 | (b'X\x00Z\xe0',) | (22944, 23072, 23136, 23040, 23008, 23072, 23104, 22976) | (b'Y\xe0Z`Z\x80Z\xa0Z`Z`',)                | 0
>> Fri Jun  4 13:37:01 2021 | (b'X\xa0[\xa0',) | (23040, 23136, 23168, 23136, 23072, 23104, 23136, 23168) | (b'Z\x80Z\xa0Z\xe0[@[\x80[\xa0',)          | 0
>> Fri Jun  4 13:37:02 2021 | (b'V\xe0Y\xe0',) | (22720, 22976, 22944, 22880, 23008, 23072, 23232, 23296) | (b'[ [@[\xe0\\\xa0] ]\x80',)               | 0
>> Fri Jun  4 13:37:02 2021 | (b'W\xe0[\x00',) | (22976, 23008, 23104, 23072, 22944, 22880, 22880, 22912) | (b'Y\xc0Y\xa0Y\xc0Z\x00Z Z`',)             | 0
>> Fri Jun  4 13:37:02 2021 | (b'X@[`',) | (23072, 23168, 23200, 23200, 23200, 23168, 23136, 23136) | (b'Z Z\x00Y\xe0Z\x00Z\x00Y\xe0',)          | 0
>> Fri Jun  4 13:37:02 2021 | (b'[`_ ',) | (24096, 24224, 24448, 24480, 24576, 24736, 24640, 24800) | (b'a a`a\xa0b b@b\x80',)                   | 0
>> Fri Jun  4 13:37:02 2021 | (b'X [ ',) | (23008, 23200, 23264, 23200, 23232, 23232, 23200, 23200) | (b'Z`Z`Z`Z`Z\x00Z@',)                      | 0
>> Fri Jun  4 13:37:02 2021 | (b'V\x80Y`',) | (22560, 22624, 22656, 22784, 22912, 23008, 23040, 23008) | (b'Y\xe0Z\x00Z Y\xe0Z\x00Z\x00',)          | 0
>> Fri Jun  4 13:37:02 2021 | (b'X`[\x80',) | (23072, 23200, 23360, 23296, 23296, 23264, 23328, 23392) | (b'[ [\x00Z\xc0Z\xe0[ [@',)                | 0
>> Fri Jun  4 13:37:02 2021 | (b'X`[\xa0',) | (23136, 23136, 23168, 23200, 23136, 23136, 23072, 23072) | (b'Z Z Z\x00Z Z Z`',)                      | 0
>> Fri Jun  4 13:37:02 2021 | (b'a\xa0d\xe0',) | (25504, 25632, 25696, 25600, 25600, 25568, 25632, 25600) | (b'c\xa0c\xe0c@c b\xe0c ',)                | 0
>> Fri Jun  4 13:37:03 2021 | (b'W\x80Z\x80',) | (22880, 23008, 23008, 22944, 23040, 23136, 23040, 23040) | (b'Z\x00Z`Z\xc0Z\xa0Z@Z`',)                | 0
>> Fri Jun  4 13:37:03 2021 | (b'W`Z\x80',) | (22880, 22944, 23040, 22944, 22976, 23008, 23072, 23168) | (b'Z@Z Z@Z@Z@Z@',)                         | 0
>> Fri Jun  4 13:37:03 2021 | (b'X\xc0\\\xa0',) | (23552, 23744, 23936, 24032, 24160, 24288, 24320, 24416) | (b'_\xa0_\xe0`\x00`@_\xc0`\xa0',)          | 0
>> Fri Jun  4 13:37:03 2021 | (b'X\x00Z\xe0',) | (22944, 23008, 23072, 23264, 23392, 23648, 23840, 23936) | (b'^ ^\x80^\x80^\xc0_@_@',)                | 0
>> Fri Jun  4 13:37:03 2021 | (b'V\xe0Z\x00',) | (22848, 22944, 23072, 23072, 23072, 23104, 23104, 23072) | (b'Z\x00Y\xe0Y\xc0Y\xc0Y\xa0Y\xc0',)       | 0
>> Fri Jun  4 13:37:03 2021 | (b'X\x00[ ',) | (23040, 23296, 23520, 23648, 23744, 23872, 24032, 24192) | (b'^\xa0_\x00_\xa0_\xc0` `\xa0',)          | 0
>> Fri Jun  4 13:37:03 2021 | (b'[@^\xe0',) | (24032, 24160, 24256, 24064, 24000, 23968, 23840, 23808) | (b'\\\xc0\\\x80\\ \\\x00[\xa0[`',)         | 0
>> Fri Jun  4 13:37:03 2021 | (b'b\x00e ',) | (25504, 25632, 25760, 25696, 25792, 25888, 25984, 26016) | (b'e\x80e\x80e`e`e e\x00',)                | 0
>> Fri Jun  4 13:37:04 2021 | (b'X\x00[\x00',) | (23072, 23232, 23264, 23136, 23136, 23136, 23072, 23040) | (b'Y\xc0Z\x00Y\x80Y\xa0Y\xa0Y\xa0',)       | 0
