>> ------DATA AND TIME------|--SYNCH 4b--|------------------------DATA 16b--------------------------|-----------------MNEM 12b-------------------|-------DATA 4b-------
>> Fri May 28 15:55:40 2021 | (b'\xba\xaf\xbb\x8f',) | (48111, 48079, 48111, 48079, 48111, 48079, 48111, 48111) | (b'\xbb\xef\xbb\xef\xbb\xef\xbb\xef\xbb\xef\xbb\xef',) | (-1.1632702638002344e+29,)
>> Fri May 28 15:55:50 2021 | (b'\xb9\xaf\xba\xaf',) | (47855, 47855, 47855, 47855, 47855, 47855, 47855, 47855) | (b'\xba\xef\xba\xef\xbb\x0f\xba\xef\xba\xef\xbb\x0f',) | (-1.1570804691564779e+29,)
>> Fri May 28 15:56:01 2021 | (b'\xba\xcf\xbb\xaf',) | (48111, 48111, 48111, 48111, 48111, 48111, 48111, 48111) | (b'\xbb\xef\xbb\xef\xbc\x0f\xbb\xef\xbb\xef\xbb\xef',) | (-1.1632702638002344e+29,)
>> Fri May 28 15:56:11 2021 | (b'\xb8\xaf\xb9o',) | (47535, 47599, 47567, 47567, 47567, 47535, 47535, 47535) | (b'\xb9\xaf\xb9\xaf\xb9\xaf\xb9\xcf\xb9\xaf\xb9\xcf',) | (-1.150116961988168e+29,)
>> Fri May 28 15:56:21 2021 | (b'\xb8o\xb9O',) | (47535, 47535, 47567, 47535, 47567, 47535, 47535, 47567) | (b'\xb9\xaf\xb9\xaf\xb9\xaf\xb9\xaf\xb9\xaf\xb9\xaf',) | (-3.377616242250525e-10,)
>> Fri May 28 15:56:31 2021 | (b'\xb9o\xbao',) | (47823, 47823, 47823, 47823, 47791, 47791, 47791, 47791) | (b'\xba\xaf\xba\xaf\xba\xcf\xba\xaf\xba\xcf\xba\xcf',) | (-6272545792.0,)
>> Fri May 28 15:56:41 2021 | (b'\xb9\xef\xba\xcf',) | (47919, 47919, 47919, 47919, 47919, 47919, 47919, 47919) | (b'\xbb/\xbb/\xbb/\xbb/\xbb/\xbb/',)       | (3.4049016384152253e-10,)
>> Fri May 28 15:56:50 2021 | (b'\x00\x00\xb8\xef',) | (47599, 47727, 47727, 47727, 47727, 47663, 47663, 47663) | (b'\xba/\xba/\xba/\xbaO\xbaO\xbao',)       | (1.1539856190582644e+29,)
>> Fri May 28 15:56:50 2021 | (b'\xb8\xaf\xb9o',) | (47599, 47599, 47599, 47599, 47599, 47599, 47631, 47599) | (b'\xba\x0f\xba\x0f\xba/\xb9\xef\xb9\xef\xb9\xef',) | (-1.1508906745127213e+29,)
>> Fri May 28 15:56:50 2021 | (b'\xaf\xb9\xaf\xb9',) | (44985, 44985, 53177, 44985, 44985, 53177, 53177, 53177) | (b'\xcf\xb9\xcf\xb9\xcf\xb9\xcf\xb9\xaf\xb9\xaf\xb9',) | (-0.00039620554889552295,)
>> Fri May 28 15:56:50 2021 | (b'\xbb\xef\xbb\xef',) | (48111, 48111, 48111, 48111, 48111, 48111, 48111, 48111) | (b'\xbb\xef\xbb\xef\xbb\xef\xbb\xef\xbc\x0f\xbb\xef',) | (-1.1632702638002344e+29,)
>> Fri May 28 15:56:50 2021 | (b'\xba/\xbb/',) | (48047, 47983, 47983, 47983, 47983, 47983, 47983, 47983) | (b'\xbbo\xbb\x8f\xbbo\xbb\x8f\xbb\xaf\xbb\xaf',) | (-3.4139965854329546e-10,)
>> Fri May 28 15:56:50 2021 | (b'/\xbb/\xbb',) | (12219, 20411, 12219, 12219, 20411, 12219, 12219, 20411) | (b'/\xbb/\xbb/\xbb/\xbb/\xbb/\xbb',)       | (-0.0031697337981313467,)
>> Fri May 28 15:56:50 2021 | (b'\xba\xaf\xba\xaf',) | (47791, 47791, 47791, 47791, 47823, 47791, 47823, 47855) | (b'\xba\xef\xba\xef\xba\xef\xba\xef\xba\xef\xba\xef',) | (-1.1570804691564779e+29,)
>> Fri May 28 15:56:50 2021 | (b'\xb8\xef\xb9\xef',) | (47727, 47727, 47727, 47727, 47727, 47727, 47727, 47727) | (b'\xbao\xbao\xbao\xbao\xbao\xbao',)       | (1.1539856190582644e+29,)
>> Fri May 28 15:56:50 2021 | (b'\xba/\xba\x0f',) | (47663, 47663, 47663, 47663, 47695, 47663, 47695, 47663) | (b'\xba/\xbaO\xba/\xba\x0f\xba/\xba/',)    | (3.3867114668240106e-10,)
>> Fri May 28 15:56:50 2021 | (b'\xaf\xb9\xaf\xb9',) | (44985, 44985, 44985, 44985, 44985, 53177, 53177, 61369) | (b'\xcf\xb9\xef\xb9\xcf\xb9\xef\xb9\xcf\xb9\xcf\xb9',) | (-0.00039620554889552295,)
