>> ------DATA AND TIME------|--SYNCH 4b--|------------------------DATA 16b--------------------------|-----------------MNEM 12b-------------------|-------DATA 4b-------
>> Fri May 28 16:02:25 2021 | (b'\xb4\xef\xb5\xef',) | (46703, 46639, 46671, 46671, 46671, 46671, 46703, 46703) | (b'\xb6o\xb6o\xb6o\xb6o\xb6o\xb6o',)       | (1.1292264404832382e+29,)
>> Fri May 28 16:02:25 2021 | (b'o\xb6o\xb6',) | (28598, 44982, 44982, 44982, 44982, 44982, 44982, 44982) | (b'\xaf\xb6\xaf\xb6\xaf\xb6\xaf\xb6\xaf\xb6\xaf\xb6',) | (-5.236673587205587e-06,)
>> Fri May 28 16:02:26 2021 | (b'\xb3o\xb4o',) | (46255, 46255, 46255, 46255, 46191, 46191, 46191, 46255) | (b'\xb4o\xb4o\xb4\xaf\xb4o\xb4o\xb4o',)    | (1.1183942762448318e+29,)
>> Fri May 28 16:02:26 2021 | (b'\xca\xcf\xcb\xaf',) | (52207, 52207, 52207, 52207, 52207, 52239, 52207, 52207) | (b'\xcc/\xcb\xef\xcb\xef\xcc/\xcc\x0f\xcc/',) | (2.012203781805385e-29,)
>> Fri May 28 16:02:27 2021 | (b'\xb9\xef\xbb\x0f',) | (47983, 47983, 47983, 47983, 47983, 47983, 47983, 47983) | (b'\xbbo\xbbo\xbbo\xbbo\xbbo\xbbo',)       | (-1.848266067063436e-29,)
>> Fri May 28 16:02:27 2021 | (b'\xae\xef\xaf\xef',) | (45167, 45167, 45167, 45167, 45135, 45135, 45135, 45135) | (b'\xb0O\xb0O\xb0/\xb0/\xb0O\xb0/',)       | (5916024832.0,)
>> Fri May 28 16:02:28 2021 | (b'\xc8o\xc9/',) | (51567, 51567, 51567, 51567, 51567, 51567, 51567, 51567) | (b'\xc9o\xc9o\xc9o\xc9o\xc9o\xc9o',)       | (1.2468325387146128e+29,)
>> Fri May 28 16:02:28 2021 | (b'\xc0\xaf\xc1\x8f',) | (49647, 49615, 49615, 49615, 49615, 49615, 49615, 49615) | (b'\xc1\xef\xc1\xcf\xc1\xef\xc1\xef\xc1\xef\xc1\xef',) | (-1.2004090316627738e+29,)
>> Fri May 28 16:02:29 2021 | (b'\xadO\xaeO',) | (44719, 44719, 44719, 44719, 44719, 44719, 44719, 44719) | (b'\xaeo\xaeo\xaeo\xaeo\xaeo\xaeo',)       | (-3.177524354747163e-10,)
>> Fri May 28 16:02:29 2021 | (b'\xc3O\xc4O',) | (50351, 50351, 50351, 50351, 50351, 50351, 50351, 50351) | (b'\xc4\xaf\xc4o\xc4o\xc4\xaf\xc4o\xc4o',) | (1.2174309905449367e+29,)
