>> ------DATA AND TIME------|--SYNCH 4b--|------------------------DATA 16b--------------------------|-----------------MNEM 12b-------------------|-------DATA 4b-------
>> Tue May 18 14:50:31 2021 | (b' Int',) | (25970, 28257, 27680, 21076, 17184, 15859, 1852, 314) | (b'\x01>\x01>\x01@\x01C\x01A\x01A',)       | (517.0938110351562,)
>> Tue May 18 14:50:36 2021 | (b' Int',) | (25970, 28257, 27680, 21076, 17184, 15700, 323, 2376) | (b'\tD\tD\tQ\tG\tO\tO',)                   | (137.25013732910156,)
>> Tue May 18 14:50:36 2021 | (b'[\tS\t',) | (22537, 22537, 23817, 24585, 24073, 24073, 24329, 24585) | (b'd\td\tX\tQ\t[\t[\t',)                   | (2.6726700775867866e-33,)
>> Tue May 18 14:50:41 2021 | (b' Int',) | (25970, 28257, 27680, 21076, 17184, 15779, 2528, 2534) | (b'\t\xde\t\xde\t\xd6\t\xd1\t\xe2\t\xe2',) | (-3.880950058031514e+16,)
>> Tue May 18 14:50:41 2021 | (b'\xd5\t\xd5\t',) | (54537, 53513, 55305, 55305, 53513, 53001, 52233, 52233) | (b'\xcd\t\xcd\t\xc9\t\xc9\t\xca\t\xc5\t',) | (4.791670193650783e-33,)
>> Tue May 18 14:50:46 2021 | (b' Int',) | (25970, 28257, 27680, 21076, 17184, 15755, 2408, 352) | (b'\x01L\x01L\x01b\x01_\x01`\x01`',)       | (2.502778973205091e+27,)
>> Tue May 18 14:50:51 2021 | (b' Int',) | (25970, 28257, 27680, 21076, 17184, 15672, 399, 1933) | (b'\x07\x94\x07\x94\x07\x9e\x07\xa4\x07\xa4\x07\xa4',) | (-1.8383276409039207e-18,)
>> Tue May 18 14:50:56 2021 | (b' Int',) | (25970, 28257, 27680, 21076, 17184, 15623, 2067, 2836) | (b'\x0b\x14\x0b\x14\x0b!\x0b\x11\x0b\x12\x0b\x12',) | (2.808111553951938e-26,)
