>> ------DATA AND TIME------|--SYNCH 4b--|------------------------DATA 16b--------------------------|-----------------MNEM 12b-------------------|-------DATA 4b-------
>> Fri Jun  4 14:35:13 2021 | (b'\x17o\x1a\xcf',) | (7471, 7503, 7087, 6415, 5775, 5423, 5615, 6159) | (b'\x1a\xef\x1c\xef\x1do\x1c\x0f\x19\x8f\x16\xcf',) | 0
>> Fri Jun  4 14:35:13 2021 | (b'"\xef!\x0f',) | (8111, 8111, 8559, 9263, 9967, 10223, 9999, 9423) | (b'!\xef\x1f\xcf\x1fo!\x0f#\xef&o',)       | 0
>> Fri Jun  4 14:35:13 2021 | (b' \xef"\x0f',) | (9391, 10095, 10703, 10927, 10671, 10031, 9295, 8815) | (b'"O$\x0f&\xef)o*\xaf)\xef',)             | 0
>> Fri Jun  4 14:35:13 2021 | (b'*\xef*O',) | (10255, 9583, 9135, 9199, 9743, 10479, 11119, 11311) | (b'+\x0f(\xaf%\xaf#\xaf#\xaf%\x8f',)       | 0
>> Fri Jun  4 14:35:13 2021 | (b"$\xaf'\xef",) | (10735, 10607, 10063, 9327, 8719, 8559, 8879, 9551) | (b'(\x0f)\xef)\xaf\'\xcf$\xcf"o',)         | 0
>> Fri Jun  4 14:35:13 2021 | (b'(\xef)\xcf',) | (10415, 9743, 9071, 8655, 8815, 9359, 10127, 10735) | (b'*o)/&\xaf#\xcf!\xef"/',)                | 0
>> Fri Jun  4 14:35:14 2021 | (b"(\xaf'O",) | (9455, 8879, 8655, 9007, 9679, 10415, 10863, 10767) | (b'(O%o"\xef!\xef"\xef%o',)                | 0
>> Fri Jun  4 14:35:14 2021 | (b'!\x8f!/',) | (8847, 9455, 10191, 10735, 10831, 10447, 9775, 9071) | (b'!\xcf"o$o\'o)\xaf*o',)                  | 0
>> Fri Jun  4 14:35:14 2021 | (b'"o$\xaf',) | (10159, 10927, 11311, 11247, 10735, 9999, 9391, 9135) | (b"$\xaf'O*/,\x0f,/*o",)                   | 0
>> Fri Jun  4 14:35:14 2021 | (b')O(\xaf',) | (9839, 9135, 8751, 8879, 9455, 10191, 10799, 10991) | (b')\x8f&\xef$\x0f"o"o$o',)                | 0
>> Fri Jun  4 14:35:14 2021 | (b'"\xcf&/',) | (10607, 10927, 10735, 10159, 9391, 8847, 8687, 9071) | (b"&/(\xef*o*\x0f'\xef%\x0f",)             | 0
>> Fri Jun  4 14:35:14 2021 | (b')\x8f(\xef',) | (9935, 9231, 8815, 8847, 9391, 10127, 10735, 10991) | (b')\xef\'o$\xaf"\xaf"\x8f$O',)            | 0
>> Fri Jun  4 14:35:14 2021 | (b'(O*\xaf',) | (10991, 10479, 9743, 9135, 8847, 9103, 9711, 10447) | (b'*\xef*\xef)o&\xaf#\xef"o',)             | 0
>> Fri Jun  4 14:35:14 2021 | (b'!\xcf#\xaf',) | (9903, 10671, 11151, 11183, 10735, 9999, 9327, 8975) | (b'#\xef&/)/+O+\xcf*O',)                   | 0
>> Fri Jun  4 14:35:15 2021 | (b'$\x0f"\xaf',) | (8687, 8943, 9583, 10319, 10863, 10863, 10479, 9711) | (b'#o!\xef"\xaf$\xef\'\xcf*\x0f',)         | 0
