>> ------DATA AND TIME------|--SYNCH 4b--|------------------------DATA 16b--------------------------|-----------------MNEM 12b-------------------|-------DATA 4b-------
>> Fri May 28 16:00:57 2021 | (b'\xc1\x8f\xc2o',) | (49903, 49903, 49903, 49871, 49871, 49839, 49839, 49839) | (b'\xc2\xaf\xc2\xaf\xc2\xaf\xc2\xaf\xc2\xaf\xc2\xaf',) | (-3.5413277865714576e-10,)
>> Fri May 28 16:00:58 2021 | (b'\xc4\xaf\xc5o',) | (50671, 50671, 50671, 50671, 50671, 50671, 50671, 50671) | (b'\xc5\xef\xc5\xef\xc5\xef\xc5\xef\xc5\xef\xc5\xef',) | (1.9616663268217255e-29,)
>> Fri May 28 16:00:58 2021 | (b'\xa8\xaf\xa9\x8f',) | (43503, 43471, 43503, 43471, 43503, 43471, 43471, 43471) | (b'\xa9\xcf\xa9\xcf\xa9\xcf\xa9\xcf\xa9\xcf\xa9\xcf',) | (-1.051080247688063e+29,)
>> Fri May 28 16:00:59 2021 | (b'\xbd/\xbe\x0f',) | (48815, 48751, 48751, 48751, 48751, 48751, 48751, 48751) | (b'\xbeO\xbeO\xbe/\xbe/\xbe/\xbeO',)       | (6381599744.0,)
>> Fri May 28 16:00:59 2021 | (b'\xc8\xaf\xc9\xaf',) | (51791, 51759, 51759, 51759, 51759, 51759, 51759, 51759) | (b'\xca/\xca/\xca/\xca/\xca/\xca/',)       | (3.677754212283446e-10,)
>> Fri May 28 16:01:00 2021 | (b'\xaa\xaf\xab\x8f',) | (44015, 44015, 44015, 44015, 44015, 44015, 44015, 44015) | (b'\xab\xef\xab\xef\xac\x0f\xab\xef\xab\xef\xab\xef',) | (1.6966546048921193e-29,)
>> Fri May 28 16:01:00 2021 | (b'\xb7/\xb7\xef',) | (47215, 47215, 47215, 47215, 47215, 47215, 47215, 47215) | (b'\xb8o\xb8o\xb8o\xb8o\xb8O\xb8O',)       | (6184464384.0,)
>> Fri May 28 16:01:01 2021 | (b'\xcb\x0f\xcco',) | (52335, 52335, 52335, 52335, 52335, 52335, 52335, 52335) | (b'\xcco\xcco\xcco\xcco\xcco\xcco',)       | (1.2654019226458825e+29,)
>> Fri May 28 16:01:01 2021 | (b'\xaeo\xafo',) | (45039, 45007, 45007, 45007, 45007, 45039, 45007, 45039) | (b'\xaf\xef\xaf\xef\xaf\xef\xb0\x0f\xaf\xef\xaf\xef',) | (1.7360982520062775e-29,)
>> Fri May 28 16:01:02 2021 | (b'\xb2O\xb3/',) | (45935, 45935, 45935, 45935, 45935, 45935, 45935, 45935) | (b'\xb3o\xb3o\xb3o\xb3o\xb3o\xb3o',)       | (1.1106570565519685e+29,)
>> Fri May 28 16:01:02 2021 | (b'\xcbo\xcc\xaf',) | (52463, 52463, 52463, 52463, 52463, 52463, 52463, 52463) | (b'\xcc\xef\xcc\xef\xcc\xef\xcc\xef\xcc\xcf\xcc\xcf',) | (-6872340480.0,)
>> Fri May 28 16:01:03 2021 | (b'\xb3\x0f\xb4\x0f',) | (46191, 46191, 46191, 46191, 46191, 46159, 46159, 46191) | (b'\xb4o\xb4o\xb4o\xb4o\xb4o\xb4\xaf',)    | (-3.2866653842944515e-10,)
>> Fri May 28 16:01:03 2021 | (b'\xad\xaf\xae\xaf',) | (44783, 44783, 44783, 44783, 44783, 44751, 44751, 44751) | (b'\xae\xcf\xae\xcf\xae\xcf\xae\xcf\xae\xef\xae\xcf',) | (-1.0820292209068458e+29,)
>> Fri May 28 16:01:04 2021 | (b'\xcao\xcbo',) | (52175, 52175, 52143, 52143, 52143, 52143, 52143, 52175) | (b'\xcb\xaf\xcb\xaf\xcb\xcf\xcb\xcf\xcb\xcf\xcb\xcf',) | (-6838785536.0,)
>> Fri May 28 16:01:04 2021 | (b'\xb9O\xba/',) | (47791, 47791, 47791, 47791, 47791, 47791, 47791, 47791) | (b'\xba\xaf\xba\xaf\xba\xaf\xba\xaf\xba\xaf\xba\xaf',) | (-3.39580641384174e-10,)
>> Fri May 28 16:01:05 2021 | (b'\xab/\xac\x0f',) | (44143, 44143, 44143, 44143, 44143, 44111, 44111, 44143) | (b'\xac/\xac/\xacO\xac/\xacO\xaco',)       | (1.0673284940456726e+29,)
>> Fri May 28 16:01:05 2021 | (b'\xc6\xaf\xc7\xcf',) | (51183, 51183, 51183, 51183, 51183, 51183, 51183, 51183) | (b'\xc7\xef\xc7\xef\xc7\xef\xc7\xef\xc7\xef\xc7\xef',) | (-1.2375477995253131e+29,)
>> Fri May 28 16:01:06 2021 | (b'\xbe/\xbf\x0f',) | (49007, 49007, 49007, 49007, 49007, 49007, 49071, 49039) | (b'\xbf\xaf\xbf\xaf\xbf\xaf\xbf\xaf\xbf\xaf\xbf\xaf',) | (-3.4867572717978135e-10,)
>> Fri May 28 16:01:06 2021 | (b'\xaao\xab/',) | (43919, 43887, 43887, 43919, 43887, 43887, 43919, 43887) | (b'\xabo\xab\x8f\xab\x8f\xab\xaf\xab\x8f\xab\x8f',) | (-1.691724073771211e-29,)
>> Fri May 28 16:01:07 2021 | (b'\xc2\xaf\xc3\xaf',) | (50191, 50191, 50223, 50159, 50159, 50191, 50191, 50191) | (b'\xc3\xef\xc3\xcf\xc3\xef\xc3\xcf\xc3\xcf\xc3\xef',) | (-1.2127886209502869e+29,)
>> Fri May 28 16:01:07 2021 | (b'\xc3/\xc4o',) | (50351, 50351, 50351, 50351, 50351, 50351, 50351, 50351) | (b'\xc4\xaf\xc4\xaf\xc4\xaf\xc4\xaf\xc4\xaf\xc4\xaf',) | (-3.577708129753887e-10,)
>> Fri May 28 16:01:08 2021 | (b'\xaa\xef\xab\xef',) | (44079, 44079, 44079, 44047, 44047, 44047, 44047, 44079) | (b'\xac\x0f\xac/\xac\x0f\xac/\xac/\xac/',) | (3.1320490645470045e-10,)
>> Fri May 28 16:01:09 2021 | (b'\xbdo\xbeo',) | (48847, 48815, 48815, 48815, 48815, 48815, 48815, 48815) | (b'\xbe\xaf\xbe\xaf\xbe\xaf\xbe\xaf\xbe\xaf\xbe\xaf',) | (-3.468567100206599e-10,)
>> Fri May 28 16:01:09 2021 | (b'\xc6\xaf\xc7\xaf',) | (51183, 51183, 51183, 51183, 51183, 51183, 51183, 51183) | (b'\xc7\xef\xc7\xef\xc7\xef\xc8\x0f\xc8\x0f\xc8o',) | (-1.2375477995253131e+29,)
>> Fri May 28 16:01:10 2021 | (b'\xad\x8f\xaeo',) | (44783, 44783, 44783, 44783, 44783, 44751, 44751, 44751) | (b'\xae\xcf\xae\xcf\xae\xcf\xae\xef\xae\xcf\xae\xef',) | (-1.0828029334313992e+29,)
>> Fri May 28 16:01:10 2021 | (b'\xb8\xaf\xb9o',) | (47599, 47599, 47599, 47599, 47599, 47567, 47567, 47567) | (b'\xb9\xcf\xb9\xaf\xb9\xaf\xb9\xaf\xb9\xcf\xb9\xaf',) | (-6230602240.0,)
>> Fri May 28 16:01:11 2021 | (b'\xc8\xaf\xc9\xaf',) | (51695, 51663, 51663, 51663, 51631, 51631, 51631, 51631) | (b'\xc9\xcf\xc9\xaf\xc9\xaf\xc9\xcf\xc9\xcf\xc9\xef',) | (-6771675648.0,)
>> Fri May 28 16:01:11 2021 | (b'\xb0\xaf\xb1\x8f',) | (45551, 45519, 45551, 45519, 45551, 45519, 45519, 45551) | (b'\xb1\xcf\xb1\xef\xb1\xef\xb1\xef\xb1\xef\xb2\x0f',) | (-1.1013723173626688e+29,)
>> Fri May 28 16:01:12 2021 | (b'\xb4o\xb5o',) | (46543, 46511, 46511, 46511, 46511, 46511, 46511, 46511) | (b'\xb5\xaf\xb5\xaf\xb5\xaf\xb5\xaf\xb5\xaf\xb5\xaf',) | (-3.3048555558856663e-10,)
>> Fri May 28 16:01:12 2021 | (b'\xc8\xaf\xc9\xaf',) | (51727, 51695, 51695, 51695, 51695, 51663, 51663, 51695) | (b'\xc9\xcf\xc9\xcf\xc9\xef\xc9\xcf\xc9\xef\xc9\xef',) | (1.9924819582483058e-29,)
>> Fri May 28 16:01:13 2021 | (b'\xb5\x0f\xb6\x0f',) | (46703, 46703, 46703, 46703, 46703, 46703, 46767, 46703) | (b'\xb6o\xb6\xaf\xb6o\xb6o\xb6o\xb6o',)    | (-3.3184982539680163e-10,)
>> Fri May 28 16:01:13 2021 | (b'\xb1\xef\xb2\xef',) | (45935, 45903, 45903, 45903, 45903, 45871, 45871, 45903) | (b'\xb3/\xb3O\xb3/\xb3O\xb3/\xb3/',)       | (3.26165400243994e-10,)
>> Fri May 28 16:01:14 2021 | (b'\xc6\xaf\xc7\xaf',) | (51215, 51215, 51215, 51215, 51183, 51183, 51183, 51215) | (b'\xc8\x0f\xc8/\xc7\xef\xc7\xef\xc8\x0f\xc8\x0f',) | (-1.2329056188253226e+29,)
>> Fri May 28 16:01:14 2021 | (b'\xb9o\xba\xaf',) | (47855, 47855, 47855, 47855, 47855, 47855, 47855, 47855) | (b'\xba\xef\xba\xef\xbb\x0f\xba\xef\xba\xef\xba\xef',) | (-1.151664575931934e+29,)
>> Fri May 28 16:01:15 2021 | (b'\xb1\x8f\xb2o',) | (45775, 45775, 45775, 45775, 45775, 45775, 45775, 45743) | (b'\xb2\xaf\xb2\xaf\xb2\xaf\xb2\xaf\xb2\xaf\xb2\xaf',) | (-3.250285041112022e-10,)
>> Fri May 28 16:01:15 2021 | (b'\xc3\xef\xc4\xef',) | (50543, 50511, 50511, 50511, 50511, 50479, 50447, 50479) | (b'\xc5/\xc5/\xc5\x0f\xc5/\xc5\x0f\xc5O',) | (3.5868033543273725e-10,)
>> Fri May 28 16:01:16 2021 | (b'\xbdO\xbeo',) | (48815, 48815, 48815, 48815, 48815, 48815, 48815, 48815) | (b'\xbe\xaf\xbe\xaf\xbe\xaf\xbe\xcf\xbe\xaf\xbe\xaf',) | (-6402571264.0,)
