>> ------DATA AND TIME------|--SYNCH 4b--|------------------------DATA 16b--------------------------|-----------------MNEM 12b-------------------|-------DATA 4b-------
>> Fri May 28 08:42:52 2021 | (b'\xa5\xaf\xa8O',) | (43663, 44207, 44719, 45231, 45807, 46383, 46959, 47535) | (b'\xbb\xef\xbe/\xc0o\xc2\xaf\xc4\xaf\xc6\xcf',) | (-3.686848604189663e-10,)
>> Fri May 28 08:42:56 2021 | (b'\xa4o\xa6\xef',) | (43311, 43823, 44335, 44911, 45423, 45999, 46575, 47119) | (b'\xba\xaf\xbc\xaf\xbe\xef\xc1\x0f\xc3/\xc5o',) | (6759091712.0,)
>> Fri May 28 08:43:00 2021 | (b'\xbc\xaf\xbbo',) | (47471, 46927, 46319, 45743, 45167, 44623, 44079, 43567) | (b'\xa8O\xa6o\xa4\xaf\xa2\xef\xa1\x8f\xa0/',) | (-2.872839188761134e-10,)
>> Fri May 28 08:43:04 2021 | (b'\xb3\xaf\xb2o',) | (45231, 44719, 44143, 43631, 43119, 42671, 42159, 41775) | (b'\xa1\x8f\xa0/\x9e\xef\x9d\xaf\x9c\xaf\x9b\xaf',) | (2.815994659677301e-10,)
>> Fri May 28 08:43:08 2021 | (b'\x8d*\x8d\xef',) | (36399, 36422, 36431, 36399, 36431, 36426, 36399, 36399) | (b'\x8e/\x8e/\x8e/\x8e/\x8e/\x8eN',)       | (8.808609422084225e+28,)
>> Fri May 28 08:43:12 2021 | (b'\xee\xcf\xef\xaf',) | (61551, 61487, 61487, 61487, 61423, 61423, 61455, 61455) | (b'\xf0/\xef\xef\xef\xef\xef\xef\xef\xef\xf0\x0f',) | (-1.4851395852755755e+29,)
>> Fri May 28 08:43:16 2021 | (b'\x8f\x0f\x8f\xaf',) | (36847, 36815, 36814, 36783, 36751, 36719, 36687, 36687) | (b'\x8f/\x8e\xef\x8e\xef\x8e\xee\x8e\xcf\x8e\xcc',) | (-2.5970731121205404e-10,)
>> Fri May 28 08:43:20 2021 | (b'\xd8\xef\xd9\xef',) | (56047, 56079, 56175, 56239, 56303, 56367, 56431, 56527) | (b'\xdd\x0f\xddo\xdd\xaf\xdd\xef\xdeo\xde\xaf',) | (2.2069565261208065e-29,)
>> Fri May 28 08:43:24 2021 | (b'\xb8/\xb8\xcf',) | (47311, 47215, 47087, 47023, 46959, 46831, 46767, 46671) | (b'\xb5\xef\xb5\xaf\xb5/\xb4\xef\xb4o\xb4/',) | (1.1129781941256286e+29,)
>> Fri May 28 08:43:28 2021 | (b'\xa5\x8f\xa6o',) | (42799, 42863, 42927, 42991, 43055, 43119, 43215, 43279) | (b'\xa9o\xa9\xaf\xa9\xef\xaaO\xaa\xaf\xaa\xef',) | (1.0595912743528093e+29,)
